idal_mat_not,fk_idmateria_almatnotcur,fk_idnota_almatnotcur,fk_idalumno_almatnotcur,fk_idcurso_almatnotcur,valor_nota,obs,createdAt,updatedAt
586,2,2,186,2,8,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros,2024-10-25,
587,3,2,187,3,10,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut,2024-10-29,
588,4,2,188,4,7,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis,2024-10-27,
589,1,2,189,1,9,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum,2024-12-09,
590,2,2,190,2,2,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices,2024-10-23,
591,3,2,191,3,8,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus,2024-10-02,
592,4,2,192,4,,consequat metus sapien ut nunc vestibulum ante ipsum primis in,2024-12-12,
593,1,2,193,1,7,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,2024-09-30,
594,2,2,194,2,2,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,2024-07-05,
595,3,2,195,3,2,pellentesque volutpat dui maecenas tristique est et tempus semper est quam,2024-10-19,
596,4,2,196,4,7,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan,2024-07-26,
597,1,2,197,1,,in est risus auctor sed tristique in tempus sit amet sem fusce consequat,2024-12-26,
598,2,2,198,2,5,nam nulla integer pede justo lacinia eget tincidunt eget tempus,2024-08-25,
599,3,2,199,3,3,a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in,2024-07-05,
600,4,2,200,4,6,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue,2024-12-15,
601,1,2,201,1,,interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at,2024-10-22,
602,2,2,202,2,5,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi,2024-10-05,
603,3,2,203,3,5,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,2024-09-29,
604,4,2,204,4,6,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum,2024-12-18,
605,1,2,205,1,2,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,2024-12-21,
606,2,2,206,2,7,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea,2024-07-31,
607,3,2,207,3,3,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus,2024-11-14,
608,4,2,208,4,3,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi,2024-08-13,
609,1,2,209,1,9,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient,2024-07-08,
610,2,2,210,2,6,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,2024-12-27,
611,3,2,211,3,6,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut,2024-10-15,
612,4,2,212,4,,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in,2024-08-28,
613,1,2,213,1,9,consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,2024-09-03,
614,2,2,214,2,5,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula,2024-10-01,
615,3,2,215,3,,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae,2024-11-13,
616,4,2,216,4,,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet,2024-09-16,
617,1,2,217,1,8,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,2024-08-07,
618,2,2,218,2,2,tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum,2024-08-23,
619,3,2,219,3,,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,2024-11-08,
620,4,2,220,4,8,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,2024-08-25,
621,1,2,221,1,9,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat,2024-09-14,
622,2,2,222,2,3,vestibulum ante ipsum primis in faucibus orci luctus et ultrices,2024-07-24,
623,3,2,223,3,8,orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi,2024-10-06,
624,4,2,224,4,5,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,2024-09-09,
625,1,2,225,1,10,at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit,2024-07-14,
626,2,2,226,2,,primis in faucibus orci luctus et ultrices posuere cubilia curae donec,2024-11-28,
627,3,2,227,3,,neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit,2024-10-27,
628,4,2,228,4,7,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa,2024-08-29,
629,1,2,229,1,,lectus in est risus auctor sed tristique in tempus sit amet sem fusce,2024-11-21,
630,2,2,230,2,,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla,2024-10-05,
631,3,2,231,3,7,in consequat ut nulla sed accumsan felis ut at dolor quis,2024-11-04,
632,4,2,232,4,4,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi,2024-07-23,
633,1,2,233,1,2,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,2024-10-12,
634,2,2,234,2,2,sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in,2024-12-18,
635,3,2,235,3,9,sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis,2024-10-10,
636,4,2,236,4,9,amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique,2024-07-12,
637,1,2,237,1,2,felis ut at dolor quis odio consequat varius integer ac leo pellentesque,2024-08-23,
638,2,2,238,2,10,sit amet cursus id turpis integer aliquet massa id lobortis convallis,2024-11-10,
639,3,2,239,3,6,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id,2024-10-04,
640,4,2,240,4,6,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer,2024-07-07,
641,1,2,241,1,7,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,2024-07-29,
642,2,2,242,2,8,justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit,2024-07-10,
643,3,2,243,3,4,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus,2024-07-05,
644,4,2,244,4,6,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod,2024-07-23,
645,1,2,245,1,8,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci,2024-08-25,
646,2,2,246,2,4,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum,2024-12-02,
647,3,2,247,3,2,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer,2024-07-12,
648,4,2,248,4,1,felis sed interdum venenatis turpis enim blandit mi in porttitor pede,2024-07-08,
649,1,2,249,1,,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,2024-08-22,
650,2,2,250,2,,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis,2024-07-04,
651,3,2,251,3,2,odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis,2024-08-27,
652,4,2,252,4,4,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,2024-08-06,
653,1,2,253,1,8,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede,2024-07-21,
654,2,2,254,2,1,in purus eu magna vulputate luctus cum sociis natoque penatibus,2024-10-17,
655,3,2,255,3,2,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id,2024-09-18,
656,4,2,256,4,4,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend,2024-10-07,
657,1,2,257,1,7,massa id lobortis convallis tortor risus dapibus augue vel accumsan,2024-08-24,
658,2,2,258,2,5,odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam,2024-09-27,
659,3,2,259,3,5,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in,2024-07-04,
660,4,2,260,4,3,libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan,2024-09-06,
661,1,2,261,1,3,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim,2024-08-05,
662,2,2,262,2,4,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus,2024-11-21,
663,3,2,263,3,9,semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan,2024-08-10,
664,4,2,264,4,,velit donec diam neque vestibulum eget vulputate ut ultrices vel,2024-10-04,
665,1,2,265,1,,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit,2024-11-03,
666,2,2,266,2,3,erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse,2024-08-03,
667,3,2,267,3,9,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit,2024-10-23,
668,4,2,268,4,10,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus,2024-10-16,
669,1,2,269,1,9,phasellus in felis donec semper sapien a libero nam dui proin leo odio,2024-12-09,
670,2,2,270,2,,nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at,2024-09-23,
671,3,2,271,3,7,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin,2024-12-23,
672,4,2,272,4,,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices,2024-08-21,
673,1,2,273,1,,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,2024-07-16,
674,2,2,274,2,9,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper,2024-07-16,
675,3,2,275,3,4,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,2024-08-27,
676,4,2,276,4,3,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis,2024-08-21,
677,1,2,277,1,2,fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,2024-08-16,
678,2,2,278,2,2,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a,2024-08-12,
679,3,2,279,3,9,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus,2024-08-20,
680,4,2,280,4,,praesent blandit nam nulla integer pede justo lacinia eget tincidunt,2024-08-13,
681,1,2,281,1,,id turpis integer aliquet massa id lobortis convallis tortor risus,2024-12-03,
682,2,2,282,2,2,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non,2024-08-18,
683,3,2,283,3,4,lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu,2024-09-09,
684,4,2,284,4,5,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis,2024-07-16,
685,1,2,285,1,9,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in,2024-12-11,
686,2,2,286,2,9,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum,2024-08-25,
687,3,2,287,3,6,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis,2024-08-25,
688,4,2,288,4,3,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam,2024-07-14,
689,1,2,289,1,1,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius,2024-12-20,
690,2,2,290,2,2,amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras,2024-09-07,
691,3,2,291,3,10,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin,2024-11-12,
692,4,2,292,4,6,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,2024-11-21,
693,1,2,293,1,6,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo,2024-08-26,
694,2,2,294,2,5,quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,2024-09-22,
695,3,2,295,3,6,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla,2024-11-26,
696,4,2,296,4,6,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,2024-08-21,
697,1,2,297,1,1,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus,2024-11-13,
698,2,2,298,2,2,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor,2024-08-30,
699,3,2,299,3,2,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,2024-12-09,
700,4,2,300,4,5,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie,2024-08-06,
701,1,2,301,1,4,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,2024-11-24,
702,2,2,302,2,9,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,2024-11-25,
703,3,2,303,3,,porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus,2024-08-07,
704,4,2,304,4,8,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices,2024-07-13,
705,1,2,305,1,8,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris,2024-09-27,
706,2,2,306,2,4,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,2024-10-16,
707,3,2,307,3,8,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar,2024-11-19,
708,4,2,308,4,10,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi,2024-12-19,
709,1,2,309,1,9,quis turpis sed ante vivamus tortor duis mattis egestas metus,2024-12-11,
710,2,2,310,2,9,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur,2024-12-25,
711,3,2,311,3,7,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet,2024-07-04,
712,4,2,312,4,,quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis,2024-09-25,
713,1,2,313,1,3,donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit,2024-10-01,
714,2,2,314,2,7,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus,2024-08-12,
715,3,2,315,3,3,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti,2024-12-08,
716,4,2,316,4,9,lacus at turpis donec posuere metus vitae ipsum aliquam non,2024-08-16,
717,1,2,317,1,,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,2024-11-24,
718,2,2,318,2,2,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi,2024-07-04,
719,3,2,319,3,1,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl,2024-10-17,
720,4,2,320,4,5,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,2024-11-06,
721,1,2,321,1,6,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,2024-07-01,
722,2,2,322,2,8,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam,2024-12-01,
723,3,2,323,3,,platea dictumst etiam faucibus cursus urna ut tellus nulla ut,2024-11-24,
724,4,2,324,4,8,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie,2024-09-07,
725,1,2,325,1,4,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,2024-08-17,
726,2,2,326,2,6,felis ut at dolor quis odio consequat varius integer ac leo pellentesque,2024-09-06,
727,3,2,327,3,10,cras in purus eu magna vulputate luctus cum sociis natoque penatibus et,2024-07-21,
728,4,2,328,4,,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi,2024-12-05,
729,1,2,329,1,,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius,2024-12-11,
730,2,2,330,2,5,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien,2024-12-01,
731,3,2,331,3,5,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac,2024-09-22,
732,4,2,332,4,4,blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu,2024-07-31,
733,1,2,333,1,,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,2024-07-28,
734,2,2,334,2,6,sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est,2024-10-16,
735,3,2,335,3,9,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus,2024-11-10,
736,4,2,336,4,1,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis,2024-10-18,
737,1,2,337,1,2,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut,2024-08-25,
738,2,2,338,2,8,id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede,2024-10-20,
739,3,2,339,3,3,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus,2024-12-30,
740,4,2,340,4,,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci,2024-10-27,
741,1,2,341,1,10,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat,2024-07-31,
742,2,2,342,2,,eu massa donec dapibus duis at velit eu est congue elementum,2024-09-25,
743,3,2,343,3,2,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet,2024-10-02,
744,4,2,344,4,7,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula,2024-09-15,
745,1,2,345,1,2,fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,2024-09-17,
746,2,2,346,2,6,semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,2024-08-18,
747,3,2,347,3,,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi,2024-07-14,
748,4,2,348,4,6,dui vel nisl duis ac nibh fusce lacus purus aliquet at,2024-09-26,
749,1,2,349,1,,pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse,2024-10-19,
750,2,2,350,2,6,in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer,2024-11-22,
751,3,2,351,3,2,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor,2024-09-11,
752,4,2,352,4,6,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea,2024-11-02,
753,1,2,353,1,2,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar,2024-08-19,
754,2,2,354,2,6,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,2024-10-22,
755,3,2,355,3,8,placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus,2024-11-21,
756,4,2,356,4,9,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac,2024-07-31,
757,1,2,357,1,5,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra,2024-10-06,
758,2,2,358,2,,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc,2024-12-07,
759,3,2,359,3,5,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu,2024-09-22,
760,4,2,360,4,,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,2024-09-05,
761,1,2,361,1,5,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,2024-07-07,
762,2,2,362,2,4,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus,2024-12-30,
763,3,2,363,3,,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,2024-09-17,
764,4,2,364,4,,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in,2024-07-18,
765,1,2,365,1,,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan,2024-09-28,
766,2,2,366,2,9,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia,2024-10-17,
767,3,2,367,3,7,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci,2024-11-30,
768,4,2,368,4,2,nunc purus phasellus in felis donec semper sapien a libero nam,2024-08-12,
769,1,2,369,1,10,mollis molestie lorem quisque ut erat curabitur gravida nisi at,2024-10-04,
770,2,2,370,2,2,non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus,2024-07-17,
771,3,2,371,3,,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,2024-07-12,
772,4,2,372,4,5,fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend,2024-07-20,
773,1,2,373,1,4,felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu,2024-11-22,
774,2,2,374,2,2,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas,2024-08-14,
775,3,2,375,3,4,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec,2024-09-15,
776,4,2,376,4,,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus,2024-11-12,
777,1,2,377,1,5,justo eu massa donec dapibus duis at velit eu est congue elementum,2024-11-30,
778,2,2,378,2,,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,2024-09-05,
779,3,2,379,3,4,quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,2024-10-08,
780,4,2,380,4,,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus,2024-11-25,
781,1,2,381,1,2,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,2024-08-05,
782,2,2,382,2,2,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at,2024-08-17,
783,3,2,383,3,2,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci,2024-08-03,
784,4,2,384,4,8,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,2024-11-08,
785,1,2,385,1,6,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus,2024-11-13,
786,2,2,386,2,2,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris,2024-07-03,
787,3,2,387,3,,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,2024-07-17,
788,4,2,388,4,5,mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,2024-10-30,
789,1,2,389,1,2,felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in,2024-11-02,
790,2,2,390,2,9,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices,2024-08-25,
791,3,2,391,3,5,nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at,2024-09-08,
792,4,2,392,4,7,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet,2024-12-21,
793,1,2,393,1,6,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam,2024-08-10,
794,2,2,394,2,7,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis,2024-09-09,
795,3,2,395,3,8,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel,2024-12-15,
796,4,2,396,4,10,varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,2024-09-20,
797,1,2,397,1,,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at,2024-09-01,
798,2,2,398,2,5,dapibus duis at velit eu est congue elementum in hac,2024-10-05,
799,3,2,399,3,4,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed,2024-12-18,
800,4,2,400,4,8,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,2024-10-08,
801,1,3,1,1,8,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,2024-12-31,
802,2,3,2,2,3,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin,2024-12-31,
803,3,3,3,3,6,elementum in hac habitasse platea dictumst morbi vestibulum velit id,2024-12-31,
804,4,3,4,4,8,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,2024-12-31,
805,1,3,5,1,2,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede,2024-12-31,
806,2,3,6,2,8,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper,2024-12-31,
807,3,3,7,3,8,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,2024-12-31,
808,4,3,8,4,9,condimentum neque sapien placerat ante nulla justo aliquam quis turpis,2024-12-31,
809,1,3,9,1,5,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim,2024-12-31,
810,2,3,10,2,6,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis,2024-12-31,
811,3,3,11,3,2,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa,2024-12-31,
812,4,3,12,4,6,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut,2024-12-31,
